[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:37:47] [Server thread/INFO]: Starting minecraft server version 1.14.4
[00:37:47] [Server thread/INFO]: Loading properties
[00:37:47] [Server thread/INFO]: Default game type: SURVIVAL
[00:37:47] [Server thread/INFO]: Generating keypair
[00:37:47] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:37:47] [Server thread/INFO]: Using default channel type
[00:37:48] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[00:37:48] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[00:37:48] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[00:37:48] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[00:37:48] [Server thread/INFO]: Preparing level "world"
[00:37:48] [Server thread/INFO]: Found new data pack vanilla, loading it automatically
[00:37:48] [Server thread/INFO]: Reloading ResourceManager: Default
[00:37:49] [Server thread/INFO]: Loaded 6 recipes
[00:37:50] [Server thread/INFO]: Loaded 811 advancements
[00:38:20] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:38:20] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:21] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:21] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:21] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:22] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:22] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:23] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:23] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:24] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:24] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[00:38:25] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[00:38:25] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[00:38:26] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[00:38:26] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[00:38:27] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[00:38:27] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[00:38:28] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[00:38:28] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[00:38:29] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[00:38:29] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[00:38:30] [Server-Worker-1/INFO]: Preparing spawn area: 11%
